Unnamed: 0,Entity Name,ID Number,NAICS,Inactive status,Address,status,entity_name,Exact Names,Entity Types,Identification Numbers,Date of Incorporations,Effective Dates,Location of Principal Offices,Agent Resigned,Address Maintained,Name and Address of Registered Agents,"Officers, Directors, and Corporations",Name and Business Address of General Partners,LLC Managers,Stocks,Purposes,NIACS,Business Entities
104,Corporate Travel Management North America Inc.,1669643,561510,Withdrawn,"16420 PARK TEN PLACE DRIVE SUITE 455HOUSTON, TX  77084  USA",inactive,Corp,Corporate Travel Management North America Inc.,Foreign Corporation,001669643,01-03-2017,01-03-2017,"16420 PARK TEN PLACE DRIVE SUITE 455,HOUSTON, TX 77084 USA",N,Y," CORPORATION SERVICE COMPANY,222 JEFFERSON BOULEVARD, SUITE 200 ,WARWICK, RI 02888 USA","PRESIDENTJAMIE PHEROUS 4500 CHERRY CREEK SOUTH DRIVE, SUITE 900 DENVER, CO 80246 USATREASURERANNE RUDD 1999 BROADWAY, SUITE 3550 DENVER, CO 80202 USASECRETARYANNE RUDD 1999 BROADWAY, SUITE 3550 DENVER, CO 80202 USADIRECTORCHRIS THELEN 16420 PARK TEN PLACE DRIVE, SUITE 455 HOUSTON, TX 77084 USADIRECTORNEAL O'CONNELL 1999 BROADWAY, SUITE 3550 DENVER, CO 80202 USADIRECTORJAMIE PHEROUS 4500 CHERRY CREEK SOUTH DRIVE, SUITE 900 DENVER, CO 80246 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNPÂ $ 0.000010,00010,000", TRAVEL AGENCY ,561510 Travel Agencies,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
105,"Corporate Valuation Services, Inc.",1684152,531320,Revoked Entity,"1 BLACKBURN CENTER, SUTIE 1 GLOUCESTER, MA  01930  USA",inactive,Corp,"Corporate Valuation Services, Inc.",Foreign Corporation,001684152,05-07-2018,05-07-2018,"1 BLACKBURN CENTER, SUTIE 1 ,GLOUCESTER, MA 01930 USA",N,Y," CT CORPORATION SYSTEM,450 VETERANS MEMORIAL PARKWAY, SUITE 7A ,EAST PROVIDENCE, RI 02914 USA","PRESIDENTSUZANNE BLAKE 1 BLACKBURN CENTER, SUTIE 1 GLOUCESTER, MA 01930 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNPÂ $ 0.0000200,0000", APPRAISAL MANAGEMENT WORK FOR RESIDENTIAL APPRAISALS COMMERCIAL AND RESIDENTIAL EVALUATIONS AND SITE INSPECTIONS ,531320 Offices of Real Estate Appraisers ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
106,"CORPORATE VENDING SERVICES, INC.",61598, ,Revoked Entity,"70 NEW RIVER ROAD MANVILLE, RI  02838  USA",inactive,Corp,"CORPORATE VENDING SERVICES, INC.",Domestic Profit Corporation,000061598,08-22-1990,08-22-1990,"70 NEW RIVER ROAD ,MANVILLE, RI 02838 USA",N,Y," STEPHEN J. DIGIANFILIPPO, ESQ.,VIEIRA & DIGIANFILIPPO LTD. 50 PARK ROW WEST, SUITE 111,PROVIDENCE, RI 02903 USA","PRESIDENTKENNETH P DION 146 MASON ROAD WHITINSVILLE, MA 01588 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNPÂ $ 0.00001,000200", FOOD SERVICES FROM VENDING MACHINES TITLE: 7-1.1-51,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
107,"Corporate Vision, Inc.",1676280,236118,Withdrawn,"8318 DURELEE LANE STE.205 DOUGLASVILLE, GA  30134  USA",inactive,Corp,"Corporate Vision, Inc.",Foreign Corporation,001676280,08-10-2017,08-10-2017,"8318 DURELEE LANE STE.205 ,DOUGLASVILLE, GA 30134 USA",N,Y," REGISTERED AGENTS INC.,ONE RICHMOND SQUARE, SUITE 125B ,PROVIDENCE, RI 02906 USA","PRESIDENTHORACE ROBERTS, JR.8307 OFFICE PARK DRIVE, SUITE B DOUGLASVILLE, GA 30134 USA",None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCWPA$ 10.00007575, CONSTRUCTION GENERAL CONTRACTOR SERVICES ,236118 Residential Remodelers ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
108,"CORPORATE WORKS of Rhode Island, Inc.",105460, ,Revoked Entity,"118 WAKEFIELD STREET WEST WARWICK, RI  02893-  USA",inactive,Corp,"CORPORATE WORKS of Rhode Island, Inc.",Domestic Profit Corporation,000105460,03-18-1999,03-18-1999,"118 WAKEFIELD STREET ,WEST WARWICK, RI 02893- USA",N,Y," JASON D. LAPLANTE,118 WAKEFIELD STREET ,WEST WARWICK, RI 02893 USA","PRESIDENTJASON D LAPLANTE 118 WAKEFIELD STREET WEST WARWICK, RI 02893 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesSTKÂ $ 0.00001,000800"," PARALEGAL SERVICES, CORPORATE FILINGS, SEARCHES. TITLE: 7-1.1-51",None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
109,"Corporate, Cash & Prize Directives (CCPD)",551414, ,Revoked Entity,"378 BROADWAY PROVIDENCE, RI  02929  USA",inactive,Corp,"ORA, LLC",Domestic Limited Liability Company,000551414,09-16-2010,09-16-2010,"378 BROADWAY ,PROVIDENCE, RI 02929 USA",N,Y," STEVEN D. DILIBERO, ESQ.,130 DORRANCE STREET ,PROVIDENCE, RI 02903 USA",None,"MANAGERMEAGAN QUINN 378 BROADWAY PROVIDENCE, RI 02909 USA","The limited liability company is to be managed by its ManagersThe name and business address of each Manager:MANAGERMEAGAN QUINN 378 BROADWAY PROVIDENCE, RI 02909 USA",None, ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
110,Corporation for Advancement of Medical Technologies,543404, ,Revoked Entity,"222 JEFFERSON BLVD. SUITE 200WARWICK, RI  02888  USA",inactive,Corp,Corporation for Advancement of Medical Technologies,Foreign Non-Profit Corporation,000543404,07-19-2010,07-19-2010,"222 JEFFERSON BLVD. SUITE 200,WARWICK, RI 02888 USA",Y,Y," , , ","PRESIDENTFAINA SHTERN 4 LONGFELLOW PLACE, SUITE 3802 BOSTON, MA 02114 USATREASURERMORGAN NIELDS 325 INTERLOCKEN PKWY, BLDG C BROOMFIELD, CO 80021 USA",None,None,None, TO RAISE FUNDS FOR RESEARCH AND EDUCATION TO IMPROVE EARLY DETECTION OF PROSTRATE CANCER ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application for Transfer of Authority,Articles of Consolidation,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
111,"Corporation For Residential Alternatives, Inc.",47405, ,Revoked Entity," ,     USA",inactive,Corp,"Corporation For Residential Alternatives, Inc.",Domestic Profit Corporation,000047405,06-20-1988,06-20-1988," , USA",N,N," THOMAS A. TARRO, III,#378 BROADWAY ,PROVIDENCE, RI 02909 USA", ,None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesSTK $ 0.00004,0000", TITLE 7-1.1-51,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
112,Corporation of St. Mathews Parish,30864, ,Revoked Entity,"87 NARRAGANSETT AVENUE,  PO BOX 317 P.O. BOX 317JAMESTOWN, RI  02835  USA",inactive,Corp,Corporation of St. Mathews Parish,Domestic Non-Profit Corporation,000030864,01-16-1896,01-16-1896,"87 NARRAGANSETT AVENUE, PO BOX 317 P.O. BOX 317,JAMESTOWN, RI 02835 USA",N,Y," REV. KEVIN LLOYD,87 NARRAGANSETT AVENUE P.O. BOX 317,JAMESTOWN, RI 02835 USA","PRESIDENTREV. KEVIN LLOYD 67 MT. HOPE AVENUE JAMESTOWN, RI 02835 USASECRETARYSUSAN S MCINTYRE 87 NARRAGANSETT AVE JAMESTOWN, RI 02835DIRECTORJOHN FLINTON DR.843 NORTH MAIN RD JAMESTOWN, RI 02835 USADIRECTORROBERT BAUER 405 SCHOONER AVE JAMESTOWN, RI 02835 USADIRECTORJAMES BREAKELL 49 GRINNELL STREET JAMESTOWN, RI 02835 USA",None,None,None, CHURCH ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
113,CORPORATION OF THE PRESIDENT OF THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS,110373,813110,Withdrawn,"222 JEFFERSON BOULEVARD, SUITE 200 WARWICK, RI  02888  USA",inactive,Corp,CORPORATION OF THE PRESIDENT OF THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS,Foreign Non-Profit Corporation,000110373,01-24-2000,01-24-2000,"222 JEFFERSON BOULEVARD, SUITE 200 ,WARWICK, RI 02888 USA",N,Y," CORPORATION SERVICE COMPANY,222 JEFFERSON BOULEVARD, SUITE 200 ,WARWICK, RI 02888 USA","PRESIDENTRUSSELL M. NELSON 50 E. NORTH TEMPLE SALT LAKE CITY, UT 84150 USASECRETARYBROOK P. HALES 50 E. NORTH TEMPLE SALT LAKE CITY, UT 84150 USADIRECTORRUSSELL M. NELSON 50 E. NORTH TEMPLE SALT LAKE CITY, UT 84150 USA",None,None,None," RELIGIOUS, CHARITABLE, AND EDUCATIONAL ACTIVITIES. TITLE: 7-6 ",813110 Religious Organizations ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application for Transfer of Authority,Articles of Consolidation,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
114,"Corporation to RB Tech, Inc.",485913, ,Revoked Entity,"334 EAST AVENUE PAWTUCKET, RI  02860  USA",inactive,Corp,"Corporation to RB Tech, Inc.",Domestic Profit Corporation,000485913,09-11-2008,09-11-2008,"334 EAST AVENUE ,PAWTUCKET, RI 02860 USA",N,N," STEPHEN M. LITWIN, ESQ.,ONE SHIP STREET ,PROVIDENCE, RI 02903 USA","PRESIDENTMICHAEL BIGNEY 10 LINDEN DRIVE PROVIDENCE, RI 02906 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNPÂ $ 0.00002,0002,000", COMPUTER SERVICES Title: 7-1.2-1701,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
115,Corps Team Services LLC,1746275,561320,Cancelled,"1205 JOHNSON FERRY ROAD SUITE 136, #507MARIETTA, GA  30068  USA",inactive,Corp,Corps Team Services LLC,Foreign Limited Liability Company,001746275,09-19-2022,09-19-2022,"1205 JOHNSON FERRY ROAD SUITE 136, #507,MARIETTA, GA 30068 USA",N,Y," BUSINESS FILINGS INCORPORATED,450 VETERANS MEMORIAL PARKWAY, SUITE 7A ,EAST PROVIDENCE, RI 02914 USA",None, , ,None, TEMPORARY STAFFING SERVICES ,561320 Temporary Help Services,"ALL FILINGS,Amendment to Application for Registration,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Registration,Application for Transfer of Authority,Articles of Merger,Certificate of Cancellation,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
116,Corpus Christi Carmelite Sisters,30867, ,Revoked Entity,"40 WESTMINSTER STREET SUITE 1100PROVIDENCE, RI  02903  USA",inactive,Corp,Corpus Christi Carmelite Sisters,Domestic Non-Profit Corporation,000030867,11-15-1955,11-15-1955,"40 WESTMINSTER STREET SUITE 1100,PROVIDENCE, RI 02903 USA",N,Y," KIMBERLY I. MCCARTHY, ESQ.,PARTRIDGE SNOW & HAHN LLP 40 WESTMINSTER STREET, SUITE 1100,PROVIDENCE, RI 02903 USA","PRESIDENTSR PETRONILLA JOSEPH MT CARMEL NOVITIATE TUNAPUNA, TT WIDIRECTORSISTER MARY FLORENCE BLAVET MT.CARMEL HOME, 412 WEST 18TH STREET KEARNEY, NE 68847 USADIRECTORSR. CLARE MARIE NERO HARDUNG PLACE CORCORITE, TT WI",None,None,None, RELIGIOUS FUNCTIONS 116,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
117,"Corpus Design, Inc.",123707, ,Revoked Entity,"51 TABER STREET WEST KINGSTON, RI  02892-  USA",inactive,Corp,"Corpus Design, Inc.",Domestic Profit Corporation,000123707,03-21-2002,03-21-2002,"51 TABER STREET ,WEST KINGSTON, RI 02892- USA",N,Y," PAUL CORPUS,51 TABER STREET ,WEST KINGSTON, RI 02892- USA","PRESIDENTPAUL CORPUS 51 TABER STREET WEST KINGSTON, RI 02892- USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesSTKÂ $ 0.00001,0000", TO ENGAGE IN THE BUSINESS OF HARDSCAPE DESIGN AND BUILDING TITLE: 7-1.1-51 ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
118,"The Corporate Cafe, Inc.",72139,722521,Dissolved,"40 WESTMINSTER STREET C/O THE CORPORATE CAFEPROVIDENCE, RI  02903  USA",inactive,Corp,"The Corporate Cafe, Inc.",Domestic Profit Corporation,000072139,04-13-1993,04-13-1993,"40 WESTMINSTER STREET C/O THE CORPORATE CAFE,PROVIDENCE, RI 02903 USA",N,Y," BRIAN DALUZ,40 WESTMINSTER STREET ,PROVIDENCE, RI 02903 USA","PRESIDENTBRIAN DALUZ 74 PINE LEDGE ROAD GREENVILLE, RI 02828 USAPRESIDENTBRIAN JUDE DALUZ MR40 WESTMINSTER STREET, C/O THE CORPORATE CAFE PROVIDENCE, RI 02903 USATREASURERJEANNE MARIE DALUZ 74 PINE LEDGE ROAD GREENVILLE, RI 02828 USASECRETARYJEANNE DALUZ 74 PINE LEDGE ROAD GREENVILLE, RI 02828 USAVICE PRESIDENTJEANNE MARIE DALUZ 74 PINE LEDGE ROAD GREENVILLE, RI 02828 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCWPÂ $ 1.00008,000100", DELI TITLE: 7-1.1-51,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
119,"The Corporate Finance Group, Inc.",125790, ,Revoked Entity," ,     USA",inactive,Corp,"The Corporate Finance Group, Inc.",Domestic Profit Corporation,000125790,07-11-2002,07-11-2002," , USA",N,Y," ROBERT P. NEWTON,2 BRADBURY STREET ,WARREN, RI 02885- USA","PRESIDENTROBERT P NEWTON 2 BRADBURY STREET WARREN, RI 02885- USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesSTKÂ $ 0.00001,0000", TO PROVIDE MANAGEMENT CONSULTING AND EDUCATIONAL SERVICES IN THE AREA OF CORPORATE FINANCE TO FINANCIAL INSTITUTIONS AND OTHER CORPORATIONS WORLDWIDE TITLE: 7-1.1,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
120,"The Corporate Gift Cards, Inc.",275007, ,Revoked Entity,"6946 POST ROAD NORTH KINGSTOWN, RI  02852  USA",inactive,Corp,"Rewards Express, Inc.",Domestic Profit Corporation,000275007,11-26-2007,11-26-2007,"6946 POST ROAD ,NORTH KINGSTOWN, RI 02852 USA",N,Y," CHRISTOPHER C. CASSARA, ESQ.,PARTRIDGE SNOW & HAHN LLP 40 WESTMINSTER STREET, SUITE 1100,PROVIDENCE, RI 02903 USA","CFOMARK GIROLAMO 6946 POST RD NORTH KINGSTOWN, RI 02852 USACHAIRMANCHRISTOPHER J CRAWFORD 6946 POST RD NORTH KINGSTOWN, RI 02852 USADIRECTORCHRISTOPHER LYNCH 255 STATE STREET BOSTON, MA 02109 USAPRESIDENTPETER WEYMAN 6946 POST RD NORTH KINGSTOWN, RI 02852 USADIRECTORMATTHEW FATES 255 STATE STREET BOSTON, MA 02109 USADIRECTORDANIEL HORNE 6946 POST RD NORTH KINGSTOWN, RI 02852 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCWPÂ $ 0.010010,0001,000", GIFT CARDS Title: 7-1.2-1701,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
